ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance (mi),DelayFromTypicalTraffic (mins),DelayFromFreeFlowSpeed (mins),Congestion_Speed (mph),Description,Street,City,Country,State,Vehicle_Count,Pedestrian_Count,Emergency_Vehicle_Presence,Weather_Condition,Time_of_Day,Traffic_Flow_Rate,Signal_Timer_Setting,Accident_Reported
25,1,37.38787298397946,-86.41226104066307,2024-01-01 21:01:33.969396939,2024-01-01 21:52:33.969396939,4.167557229506996,29,36,20.207755474445204,Learn know pressure eye strategy.,Robert Mountains,Williamsbury,USA,PR,54,12,0,Clear,Morning,11,40,0
26,5,40.69665291373578,-123.72662697102398,2024-01-01 21:54:07.884788478,2024-01-01 22:44:07.884788478,0.48522020615151606,55,41,20.61088909051264,Phone arrive make than business worker social.,Peters Street,South Jeffreyfurt,USA,GU,24,4,0,Clear,Afternoon,98,46,0
27,3,30.614734344814803,-77.51889683261763,2024-01-01 22:46:41.800180018,2024-01-01 23:30:41.800180018,4.335234727547255,5,33,45.46515627160747,Let senior bill future station note area.,Brown Glen,Port Kathleen,USA,WI,12,4,0,Rain,Night,88,15,0
28,3,47.146421702820504,-80.49039320990587,2024-01-01 23:39:15.715571557,2024-01-02 00:17:15.715571557,2.202999770001132,27,4,33.37704416592217,Purpose growth billion environment.,Simmons Mall,West Nathan,USA,UT,94,10,0,Rain,Night,28,29,0
29,4,48.30201570181573,-102.49579131578801,2024-01-02 00:31:49.630963096,2024-01-02 01:24:49.630963096,4.407010282419097,53,2,6.82842721234468,Energy they marriage oil science after.,Patricia Forge,Kellychester,USA,WY,46,14,0,Clear,Morning,31,77,0
30,3,37.05644224967526,-92.87103706516662,2024-01-02 01:24:23.546354635,2024-01-02 02:14:23.546354635,1.1972871380887553,13,23,58.55855608385767,Here no agreement ability and.,Andrea Avenue,New Bonniestad,USA,WV,96,6,0,Snow,Morning,149,101,0
31,4,46.45139959985583,-90.1780892209388,2024-01-02 02:16:57.461746174,2024-01-02 02:55:57.461746174,0.42255204660890955,15,7,21.543405962917024,Son television score meet.,Wendy Manor,Stephanieburgh,USA,WY,50,2,0,Rain,Evening,103,116,0
32,1,43.703700507982134,-72.31704151146201,2024-01-02 03:09:31.377137713,2024-01-02 04:07:31.377137713,0.5283420998615894,26,4,27.457584956236683,Sort same use report.,Coleman Via,South Mary,USA,CA,86,10,0,Clear,Afternoon,21,31,0
33,3,47.57848525512496,-81.96099666132952,2024-01-02 04:02:05.292529252,2024-01-02 04:35:05.292529252,2.538827186428713,47,34,48.05331020830779,Between head hotel necessary east.,Lopez Springs,New Craigfort,USA,MD,30,17,0,Clear,Night,94,101,0
34,3,32.256321723816896,-108.66215463269795,2024-01-02 04:54:39.207920792,2024-01-02 05:05:39.207920792,4.1066254021813995,22,7,37.84761382686798,Television citizen easy believe local firm.,Robinson Locks,Matthewside,USA,MO,95,17,0,Clear,Night,93,117,0
35,2,44.788779428273386,-90.31718169111053,2024-01-02 05:47:13.123312331,2024-01-02 06:42:13.123312331,1.7554106031242855,58,28,15.981633523283836,Wait child ground study.,Elizabeth Fords,South Shawn,USA,LA,31,9,0,Clear,Evening,112,89,0
36,5,45.04434894894511,-122.31996486546734,2024-01-02 06:39:47.038703870,2024-01-02 07:29:47.038703870,4.205571421197617,40,20,44.846421133646714,Happen direction special report them less risk.,Malik Island,Lake Crystalburgh,USA,PA,21,12,0,Clear,Afternoon,140,33,0
37,4,40.13862927210003,-85.15228995001482,2024-01-02 07:32:20.954095409,2024-01-02 07:54:20.954095409,1.273206478850857,7,24,21.914544427972064,Character ahead hour matter travel information.,Matthew Trace,North Rodney,USA,OR,44,1,0,Clear,Afternoon,106,78,0
38,4,47.381415164036994,-89.18217268041283,2024-01-02 08:24:54.869486948,2024-01-02 08:35:54.869486948,2.0294093491489096,30,8,13.89166564174332,Sign reveal realize analysis responsibility cover.,Cole Lodge,South Ellen,USA,PW,23,19,0,Rain,Afternoon,131,64,0
39,2,37.90552475168449,-115.2862423292567,2024-01-02 09:17:28.784878487,2024-01-02 09:55:28.784878487,0.6618150871023202,47,14,35.22897125120748,Production perhaps TV sound town left technology idea.,Rivera Trail,Lake Ashleyland,USA,MN,84,1,0,Clear,Evening,32,56,0
40,3,31.32517591763532,-90.20728182387485,2024-01-02 10:10:02.700270027,2024-01-02 11:05:02.700270027,1.0966685746107991,16,19,42.312281300887,Race today bring similar theory team.,Johnson Vista,East Erin,USA,VA,82,17,0,Rain,Morning,57,41,0
41,1,34.78386508173151,-122.8130808292243,2024-01-02 11:02:36.615661566,2024-01-02 12:01:36.615661566,2.2608708339254937,3,33,8.370429576108041,Team for process.,Joshua Valleys,Port Heather,USA,NJ,13,10,1,Clear,Afternoon,75,23,0
42,3,44.659836341523075,-88.39427497843563,2024-01-02 11:55:10.531053105,2024-01-02 12:34:10.531053105,2.4210756134862974,40,12,57.0423769002091,Room sign entire finish may always.,Shelly Stravenue,Franklinmouth,USA,MP,22,19,1,Clear,Afternoon,148,119,0
43,1,27.05162476933526,-106.61671213685611,2024-01-02 12:47:44.446444644,2024-01-02 12:54:44.446444644,4.613851633801657,28,33,10.844092605001478,Speech might better economic.,Matthews Neck,North Angelastad,USA,HI,21,12,0,Fog,Night,64,56,0
44,3,42.72289495995253,-91.4919884359868,2024-01-02 13:40:18.361836183,2024-01-02 13:58:18.361836183,1.2432025444656007,43,1,26.15289917511551,Statement position apply enough their between.,Rose Landing,Lake Joyce,USA,TN,93,19,0,Clear,Evening,29,74,0
45,5,39.98754101747488,-84.50885021938595,2024-01-02 14:32:52.277227722,2024-01-02 15:25:52.277227722,4.401354047626955,45,16,32.725609882090026,Try health want subject minute southern door.,Rodriguez Fork,East Robert,USA,AZ,60,16,0,Fog,Evening,97,118,0
46,4,32.67603308531578,-84.21945481367018,2024-01-02 15:25:26.192619261,2024-01-02 15:49:26.192619261,1.2155154287916077,51,5,5.412694999663321,Feeling brother none reveal arrive nation international.,Douglas Ferry,New Shane,USA,SC,95,6,0,Rain,Afternoon,127,102,0
47,4,38.05073579074345,-87.6309203000082,2024-01-02 16:18:00.108010801,2024-01-02 16:29:00.108010801,0.14955878315816773,10,41,45.58723106520935,Continue blue hit place.,Patricia Ways,Ronnieview,USA,IL,26,0,0,Clear,Evening,78,50,0
48,2,25.961966863390014,-124.72668198233512,2024-01-02 17:10:34.023402340,2024-01-02 17:46:34.023402340,1.8720806497864118,14,11,38.723937501827386,Support list ability story thank.,Erin Well,Kristenland,USA,KS,78,12,0,Clear,Evening,61,108,0
49,1,31.414820144753122,-124.92861250356809,2024-01-02 18:03:07.938793879,2024-01-02 18:16:07.938793879,2.5058327449068676,20,14,44.56236084844058,Great sound rest say only.,Warren Cliff,Davischester,USA,MO,66,1,0,Fog,Morning,36,77,0
50,4,36.78864901961752,-72.3649855418044,2024-01-02 18:55:41.854185418,2024-01-02 19:00:41.854185418,4.0943734721000515,3,11,48.065965147357765,Two leave improve.,Morris Spring,New Madisonview,USA,HI,31,11,1,Clear,Evening,134,105,0
51,1,38.11175093293674,-86.32269407696927,2024-01-02 19:48:15.769576957,2024-01-02 20:33:15.769576957,1.3869088037701773,1,7,18.512807818454682,Central decide movement activity.,Reed Corner,New Jacobbury,USA,VT,24,3,0,Clear,Night,77,54,0
52,2,25.051752787425052,-87.00560683168857,2024-01-02 20:40:49.684968496,2024-01-02 21:17:49.684968496,0.34665470095459394,39,44,42.91564397155133,Range whole miss prepare risk term nothing.,Jonathan Mountain,Deborahview,USA,VA,56,14,1,Clear,Night,125,51,0
53,5,47.31742110354586,-83.97066399885328,2024-01-02 21:33:23.600360036,2024-01-02 21:58:23.600360036,1.3565274753281669,50,38,42.27053984703109,Door call serious word.,Jacqueline Shore,Lake Dennisbury,USA,RI,47,6,0,Clear,Night,141,112,0
54,1,46.21400257077062,-116.217135500468,2024-01-02 22:25:57.515751575,2024-01-02 22:42:57.515751575,0.4735539841777575,17,2,47.26429847793797,Various single woman buy consider great any.,Marshall Landing,North Christian,USA,MS,66,3,0,Clear,Night,33,20,0
55,4,46.27673631407923,-110.14517931015082,2024-01-02 23:18:31.431143114,2024-01-02 23:55:31.431143114,0.5002639915129523,27,17,8.72614304488135,Prepare so actually.,Katherine Trail,Amytown,USA,TN,85,10,0,Clear,Evening,87,38,0
56,5,46.80706566196222,-79.84200705760196,2024-01-03 00:11:05.346534653,2024-01-03 00:48:05.346534653,0.6744920656595291,1,14,10.236621680555315,Weight process grow else Congress would activity.,Paul Forges,Sarahhaven,USA,VI,10,5,0,Snow,Morning,44,71,0
57,4,46.54307033664582,-69.36490055989984,2024-01-03 01:03:39.261926192,2024-01-03 01:45:39.261926192,3.9517676831372897,26,41,52.653906598865994,Agency yeah study know available want need.,Tyler Locks,Hartville,USA,MP,39,3,0,Clear,Afternoon,43,11,1
58,2,39.44817448509646,-83.43224557364445,2024-01-03 01:56:13.177317731,2024-01-03 02:10:13.177317731,4.78077758283451,42,7,14.300345580900231,Likely trial travel even real help tax.,Stephen Valleys,Lake Barbarashire,USA,NM,60,18,0,Clear,Evening,112,14,0
59,2,31.704281592448833,-90.42502251650971,2024-01-03 02:48:47.092709270,2024-01-03 03:01:47.092709270,2.874770427341135,6,38,43.57711670297938,Recent mission long eight take pattern coach.,Harris Trafficway,Ashleyburgh,USA,WI,52,15,1,Rain,Afternoon,73,14,0
60,3,47.06922662455217,-82.46567109175294,2024-01-03 03:41:21.008100810,2024-01-03 04:07:21.008100810,2.4664011341272567,54,2,11.907866505330464,Form my best remember president what.,Harper Loaf,Port Sergioberg,USA,PA,76,0,1,Rain,Evening,102,85,0
61,3,31.99836081025215,-117.4142539493022,2024-01-03 04:33:54.923492349,2024-01-03 04:41:54.923492349,1.233814148541613,19,16,36.028430664599824,Show itself mention consider.,Natasha Points,Arellanomouth,USA,NM,95,0,0,Fog,Night,15,39,0
62,4,35.147143563418666,-94.06457812046168,2024-01-03 05:26:28.838883888,2024-01-03 06:21:28.838883888,0.7430335251679462,33,20,10.38392252482113,Meeting hotel statement certain black carry raise.,Smith Village,Joannemouth,USA,IN,91,4,0,Clear,Morning,36,107,0
63,3,46.0954612791929,-79.70146978660972,2024-01-03 06:19:02.754275427,2024-01-03 07:15:02.754275427,1.428238528026889,41,20,30.23877629479153,Chair brother available each.,Kimberly Union,South Kristychester,USA,MH,61,0,0,Fog,Night,78,72,0
64,4,28.781581780955136,-109.48822539432464,2024-01-03 07:11:36.669666966,2024-01-03 07:16:36.669666966,1.245001069081808,11,12,5.600104022191971,Task because skin country.,Brittney Knolls,Kimberlystad,USA,TN,43,17,0,Clear,Morning,104,79,0
65,5,48.36215277525214,-67.62531846461047,2024-01-03 08:04:10.585058505,2024-01-03 08:40:10.585058505,0.8314692634441058,42,25,55.33755497508367,History part and world laugh specific forward.,Jonathan Plain,Youngmouth,USA,MH,35,8,0,Clear,Night,61,13,0
66,2,29.388237895178282,-77.26340400002732,2024-01-03 08:56:44.500450045,2024-01-03 09:53:44.500450045,3.6768423651729254,2,29,10.249340824406,Theory peace I then government even.,Michael Parkways,North Brianview,USA,OK,30,6,0,Rain,Morning,9,63,1
67,2,37.7383955874468,-74.9986018238572,2024-01-03 09:49:18.415841584,2024-01-03 10:01:18.415841584,0.2547600982234174,32,28,13.878879407010073,Many although eight before especially.,Olivia Underpass,East Steven,USA,MO,24,10,0,Clear,Morning,111,31,0
68,2,47.67874695616767,-115.91992168872147,2024-01-03 10:41:52.331233123,2024-01-03 11:16:52.331233123,2.943702662545329,8,22,55.62523529302239,Case its watch threat official.,Zachary Trace,Myerstown,USA,MA,61,3,1,Rain,Night,96,51,0
69,4,39.23404141292175,-70.15852051471977,2024-01-03 11:34:26.246624662,2024-01-03 11:49:26.246624662,4.409260372223303,34,8,37.88794912587009,Customer always protect result dinner house.,Mark Parkways,West Jessicaville,USA,DE,15,13,0,Rain,Night,67,23,0
70,5,48.39141387944262,-95.18486661167785,2024-01-03 12:27:00.162016201,2024-01-03 13:04:00.162016201,2.656564968285189,11,18,51.037094412172046,Onto term require own how can.,Kramer Union,Joneschester,USA,HI,72,15,0,Fog,Night,148,91,0
71,4,44.08740822416323,-95.35309872208015,2024-01-03 13:19:34.077407740,2024-01-03 13:41:34.077407740,2.632604507392734,13,33,32.07001464480766,Region control pattern difference ability.,Kelly Highway,Port Ericahaven,USA,PW,92,13,0,Clear,Night,111,77,0
72,3,25.532414444493874,-106.43596901411588,2024-01-03 14:12:07.992799279,2024-01-03 14:54:07.992799279,0.8853207480053915,19,30,40.23167201495841,Reason behind late these.,Griffin Valley,Lake Annette,USA,AS,24,15,0,Rain,Afternoon,88,45,0
73,2,38.5767885156601,-108.65595884605418,2024-01-03 15:04:41.908190819,2024-01-03 15:25:41.908190819,4.33011542214386,55,14,29.047980660930353,To cost activity recognize suddenly bank pick.,Duncan Village,Jacksonland,USA,GU,79,3,0,Clear,Morning,132,31,0
74,2,37.085710229136026,-86.82133364581738,2024-01-03 15:57:15.823582358,2024-01-03 16:49:15.823582358,0.6093305113016071,3,38,15.0408468398844,Maybe Mr strategy move.,Parrish Drive,Moorehaven,USA,IA,77,18,0,Clear,Night,138,34,0
75,4,26.151373655372378,-72.17588171319686,2024-01-03 16:49:49.738973897,2024-01-03 17:19:49.738973897,1.9768464087310769,32,40,23.867951773833713,Effort put a decide rule knowledge material.,Torres Tunnel,Kellerborough,USA,ME,72,0,1,Rain,Afternoon,106,57,0
76,2,29.608867766015166,-70.97500060982117,2024-01-03 17:42:23.654365436,2024-01-03 18:04:23.654365436,0.7846654648216485,7,4,40.75147807658283,Four simply garden wall.,Stephens Route,West Alan,USA,FL,95,17,0,Snow,Evening,71,79,0
77,4,41.31168672669867,-89.19270909221743,2024-01-03 18:34:57.569756975,2024-01-03 19:32:57.569756975,1.3505184935879715,38,40,8.94559922691065,There put him relate third.,Jeremy Extension,South Matthewmouth,USA,CO,25,15,0,Fog,Night,90,84,0
78,2,42.267873081744284,-122.08423175098173,2024-01-03 19:27:31.485148514,2024-01-03 20:26:31.485148514,3.2098546120478013,8,13,37.46451242737215,Take also soldier up.,Amy Spurs,Mikaylaville,USA,UT,76,17,0,Clear,Evening,116,87,0
79,1,33.23362183364615,-77.57780068498117,2024-01-03 20:20:05.400540054,2024-01-03 20:52:05.400540054,0.8278077640797653,39,5,20.41994087671978,Cover music two system case.,Barrett Mountain,Burkeland,USA,TN,56,19,1,Clear,Night,89,44,0
80,4,40.419706128859744,-110.62154522443312,2024-01-03 21:12:39.315931593,2024-01-03 21:35:39.315931593,1.3575450416107104,18,24,19.879380786808987,Particular doctor course also.,Lisa Views,Port Kenneth,USA,FM,93,6,0,Clear,Morning,118,66,0
81,5,44.174398171672536,-93.2468540322368,2024-01-03 22:05:13.231323132,2024-01-03 22:53:13.231323132,4.939823137576711,22,11,36.91415444367915,Poor add design your artist key.,Oconnor Keys,West Paula,USA,MN,52,16,0,Clear,Evening,103,95,0
82,2,36.58533580942188,-68.96056128372555,2024-01-03 22:57:47.146714671,2024-01-03 23:39:47.146714671,1.7262137372988169,10,1,43.90709452882443,Reveal hold environmental under bed institution offer.,Natalie Ranch,Port Danaside,USA,LA,15,13,0,Clear,Morning,16,25,0
83,4,47.33610271537893,-123.1952366527602,2024-01-03 23:50:21.062106210,2024-01-04 00:31:21.062106210,0.9207513049997758,40,2,55.28851781286506,Experience admit produce together better ready head.,Cox Divide,Lake Jeffery,USA,DE,77,3,0,Rain,Night,110,77,0
84,1,37.7011639576065,-92.22525254064595,2024-01-04 00:42:54.977497749,2024-01-04 01:41:54.977497749,3.2830465945591447,37,33,55.85367138639241,Rock country sing fine window.,Bradley Prairie,Kelleyberg,USA,SC,17,19,0,Clear,Night,103,60,0
85,5,44.85622593205824,-84.15507490110771,2024-01-04 01:35:28.892889288,2024-01-04 02:25:28.892889288,3.8379777760491076,59,26,54.16442123601218,Part almost sense.,Seth Place,Shellychester,USA,PW,81,14,0,Rain,Afternoon,62,60,0
86,4,34.26283059589002,-120.9957099108153,2024-01-04 02:28:02.808280828,2024-01-04 03:03:02.808280828,4.813997301698134,37,9,46.70089218517893,Image lead fight measure rise hundred should.,Brooke Key,West Carlos,USA,FM,50,11,0,Clear,Night,95,30,0
87,4,28.561113534670042,-69.936685002156,2024-01-04 03:20:36.723672367,2024-01-04 03:27:36.723672367,0.6451025231481968,40,32,58.89182238658743,No rich election former.,Johnston Fork,Justinborough,USA,AS,39,19,0,Rain,Evening,100,53,0
88,4,29.41145406555094,-103.0510019073355,2024-01-04 04:13:10.639063906,2024-01-04 04:32:10.639063906,2.9759391965423676,48,8,27.975975548124232,Detail car quality explain find yes return.,Nguyen Corners,Deannamouth,USA,DE,30,13,0,Clear,Morning,74,26,0
89,3,35.431037791937854,-105.29609622798503,2024-01-04 05:05:44.554455445,2024-01-04 05:13:44.554455445,4.25408129884965,3,23,47.116104839478446,Experience both particular chance college believe entire.,Fernandez Via,Steinfurt,USA,AK,57,19,0,Rain,Morning,147,39,0
90,3,28.501836092543012,-80.78931829244857,2024-01-04 05:58:18.469846984,2024-01-04 06:49:18.469846984,1.443821478641548,20,9,27.03942044009101,Hear glass skill shake mouth bank.,Hernandez Meadows,Robinsonberg,USA,TX,72,2,0,Clear,Evening,35,33,0
91,2,48.03261637239535,-75.67107696065545,2024-01-04 06:50:52.385238523,2024-01-04 07:24:52.385238523,3.446864467840846,15,1,53.87414917666431,Set career edge main.,Gomez Terrace,Arnoldbury,USA,WA,13,4,0,Clear,Morning,91,10,0
92,5,25.83103004913339,-113.89185204551636,2024-01-04 07:43:26.300630063,2024-01-04 08:11:26.300630063,3.646895724531765,12,41,58.033522464141996,To suffer region professional likely story high.,Kerry Shores,West Edwin,USA,NJ,45,6,0,Clear,Night,25,36,0
93,2,30.083842339778798,-118.7045575045647,2024-01-04 08:36:00.216021602,2024-01-04 08:52:00.216021602,4.728393079698682,13,9,18.479124584267765,Concern book fund part assume scientist professional.,Aaron Forge,South Tracy,USA,UT,70,11,0,Clear,Morning,101,85,0
94,4,40.43173902228771,-99.46166668187527,2024-01-04 09:28:34.131413141,2024-01-04 10:03:34.131413141,0.16713533848803863,17,41,5.591200659483121,Success stock benefit.,Jessica Squares,Clarkton,USA,MA,95,1,0,Fog,Afternoon,10,55,0
95,1,34.03177186434557,-86.87012373909542,2024-01-04 10:21:08.046804680,2024-01-04 11:17:08.046804680,3.3207346895398877,3,4,13.720767522200466,Wish bring through which enter side tell.,Mcmillan Highway,Sydneyside,USA,NH,61,15,0,Snow,Night,88,81,0
96,4,40.58320781765349,-95.15347824571295,2024-01-04 11:13:41.962196219,2024-01-04 11:23:41.962196219,1.4623908621690584,26,22,5.0657524636749685,Science authority capital reach.,Howard Lakes,Sarahshire,USA,FL,55,3,0,Rain,Night,41,88,0
97,1,43.66605567758046,-70.29789833995497,2024-01-04 12:06:15.877587758,2024-01-04 12:34:15.877587758,1.9506760186760204,5,44,20.497416403442493,Real sure record.,Michael Station,Lake Shanehaven,USA,NE,68,17,0,Clear,Morning,65,77,0
98,5,45.63912819669234,-96.96826953029505,2024-01-04 12:58:49.792979297,2024-01-04 13:55:49.792979297,2.028389027479765,39,14,18.619222902713204,Second whole fill term take moment important.,Casey Keys,Burgesschester,USA,PR,60,5,0,Clear,Morning,79,61,0
99,5,40.541838420434566,-93.26199365593074,2024-01-04 13:51:23.708370837,2024-01-04 14:33:23.708370837,4.650579776864977,2,39,48.84191264078095,Building food operation mention continue.,Lewis Prairie,North Nicholas,USA,MO,73,8,0,Clear,Morning,107,99,0
100,1,30.726758882688923,-109.9479088667791,2024-01-04 14:43:57.623762376,2024-01-04 15:38:57.623762376,4.714837601874155,50,31,7.250447947877393,Can compare where develop member structure without.,Todd Drives,Heatherfort,USA,GA,87,5,0,Clear,Night,91,62,0
101,5,27.442304692605408,-110.36567091396404,2024-01-04 15:36:31.539153915,2024-01-04 15:42:31.539153915,1.7219689979868174,5,5,47.617958881022375,Able major stop worry guess.,Carlos Cliff,East Rachaelstad,USA,DE,16,9,0,Clear,Morning,126,107,0
102,3,48.473688795721664,-121.34448127947772,2024-01-04 16:29:05.454545454,2024-01-04 17:04:05.454545454,2.7791447058484287,13,3,25.212046699098668,Officer parent air enough experience.,Lynch Common,Williamhaven,USA,WV,79,14,0,Clear,Night,69,46,0
103,4,43.807491555450575,-73.61582102816661,2024-01-04 17:21:39.369936993,2024-01-04 17:41:39.369936993,3.135929438313703,29,12,28.355487337640646,Design goal shake child Republican similar.,Tyler Shores,Williamsbury,USA,UT,14,16,0,Fog,Afternoon,85,62,0
104,2,35.274019940085346,-80.37032801395458,2024-01-04 18:14:13.285328532,2024-01-04 18:35:13.285328532,2.3478115269724973,10,24,26.906912968818265,Enter likely fine health heavy.,Flynn Plain,West Dustinchester,USA,HI,75,18,0,Clear,Morning,120,50,0
105,4,27.148946626135608,-101.90676440133386,2024-01-04 19:06:47.200720072,2024-01-04 19:37:47.200720072,1.4306828386290167,15,9,55.05662937220809,Democratic they fact operation.,Ronald Groves,Jaredside,USA,FL,65,10,0,Rain,Afternoon,65,91,0
